,Cool,Funny,Rating,Text,Useful,Sentiment
10,10,8,5.0,"FINALLY tried the Khao Soi and Chili-rubbed spare ribs and they are AMAZING.The Khao Soi is a delicious combination of sous vide chicken, soft-boiled egg half, pineapple slices (NOT canned), and crispy and soft egg noodles in the best coconut curry broth. The egg noodles are perfect - soft, chewy, and a great vehicle for the broth. I literally picked up the huge bowl and drank the remaining broth it is that good! If they ever decide to do a Khao Soi challenge, een if it is 10 pounds, sign me up!The ribs are fall-off-the-bone tender and so flavorful! You also get 3 HUGE ribs with a side of coleslaw that is creamy, sweet, and savory with an Asian kick. The entire dish is drool-worthy.The pad see yew was also very good with plenty of egg, chicken, Chinese broccoli, and perfectly tender flat rice noodles in a slightly spicy and savory sauce.They also gave us a complimentary sesame cake dessert for NYE and it was superb. The cake is fluffy yet dense with just the right amount of sweetness and perfectly complimented by the scoop of creamy Vanilla ice cream. Honestly, the dishes here are better than the equivalent versions at the best Thai and SE Asian places in the city. The menu is small but meticulously crafted and every item is delicious. The staff are fantastic (among the best service I have had) and the seating is low-key and comfortable. Plus the playlist is great!Just come here now. Seriously. It's worth the trip and walking is great exercise, just in time for New Year's resolutions (and it's super close to the 6 btw).",18,0.9967
11,15,15,5.0,"Bros pay attention, major key alert: This one single city block will create the most painless, thoughtful, date options for you. 1. Thierry Goldberg Gallery (directly across the street) 2. La Contenta (top Mexican with intimate chill vibes) 3. The Back Room (sketchy but solid speakeasy next door). The food here was really good with hearty helpings and the mezcal was delish according to my date. Normal Mexican beer options which will put out any fires that might ignite on your palate.  I'll definitely be back. Pro tip: they don't take reservations and make sure your at the right location in LES (they have another location in west village that does take reservations)",16,0.9297
12,12,5,5.0,"Umami overload! I love this place. I mean, I know it's going to be good before hand - it's pasta and seafood, it just have to be good! But Marea exceeded my already high expectations.I was there for my birthday and did the four course pf menu. Did I mention this is a Michelin two star restaurant and the pf is $117? Btw you get a lot of food...I think it's really good value considering the food, service and the ambience. The biggest surprise comes from the raw sliced snapper with caviar. Sooooo good, soooo umami. IMy pictures are literally crap btw - they don't really do the food justice. Best pasta I have ever eaten in my life period!",14,0.9802
13,13,6,5.0,"Having been to the FiDi location when I used to live down there, I was hyped to see this location under construction while walking around work.  My two coworkers and I visited the second day after they opened for lunch and I am extremely happy to report that the sandwiches here are just as good as I remembered!The counter attendants were welcoming and cheerful, open to giving you their own personal favorites and suggestions if you are overwhelmed by the long list of options. We tried the Parma (prosciutto, smoked mozz, sundried tomatoes, arugula), Bari (salami, fresh mozz, olive paste, sundried tomatoes), and Trieste (proscuitto, fresh mozz, balsamic dressing, arugula) and enjoyed all of them. You can choose the bread you prefer; I'm a big fan of the focaccia (+$1.50) but the ciabatta (+$1.00) is also perfection. The ingredients are very fresh and high quality, and I can die happy after eating the sundried tomato + olive paste combo. There is also a good selection of vegetarian options, and another one of my coworkers tried the Capri (bufala mozz, fresh tomatoes, arugula, e.v.o.o.) on semolina (+$1.00). The verdict was ""v good sandwich. *heart* buffalo mozz and the semolina is *italian chef kissing fingers*"" I was also told to emphasize that you can taste that its real EVOO and not some cheap knockoff. The sandwich sizes here are absurdly massive. Ask them to cut your sandwich into 4's so you can save some for a snack / dinner. Alternatively, life is too short for regret so choose your own adventure and eat as much as you want in one sitting (me).There is a $10 credit card minimum, but nearly all the sandwiches will allow you to meet that minimum. COME HERE but also don't make the line too long kthxbye.",18,0.9932
14,12,6,5.0,"I got tickets to climb the Vessel at the Hudson Yards on the 2nd day of the grand opening weekend. The process of getting tickets is simple, you just go to the website and claim your spot in a virtual queue. You can enter your email address, and the system will contact you when it is your turn to reserve your tickets; however, you will only have 10 minutes to do so before your lose your spot in the queue. You can reserve up to 6 tickets at a time, and they release same day tickets everyday at 8am.The Vessel is a honeycomb-like structure that is about 16 stories tall and consists of 154 flights of stairs. However, the stairs are pretty easy to climb and my friend and I did not feel tired at all. There is an elevator, but it was not in operation when we visited on the 2nd day of the opening weekend. There's a view at every level, and it is really cool to see the water view of the Hudson River coastline when you are at the top. I would recommend going later, so you could see the sunset. The most convenient way to get to the Hudson Yards is by taking the 7 train to the 34th Street-Hudson Yards station. The station is literally right next to the Vessel and the shopping mall.",19,0.9288
15,24,4,5.0,"Food is out of this world! We ordered the chicken shawarma. It took maybe 25 mins to be served but we were told it would take up to 1 hr. Our waitress Klisara was beyond friendly and explained the menu so well and detailed. The shawarma is delicious, sauces go perfectly with the meat and portion is enormous... probably to feed 4 persons. Will definitely recommend this place to friends and can't wait to come back",25,0.9861
16,14,10,5.0,Wanna stuff your face for just 6 bucks? This is all you need to order:Thick Rice Noodles with Peanut Butter Sauce - $2.50Pork & Chive Dumplings 10pc for $3.50You're welcome.,16,0.4019
17,17,10,5.0,"Wonderful lunch/dinner spot for anyone who is into Italian food or just looking for a fulfilling meal. Great place to get together with your friends or go on a date. It's affordable and delicious. The wait staff was really easy going and helpful with recommendations. My cousins and I came here for a small birthday celebration. We reserved a table for 5:30 on Monday. Around 6:30, the back area of the restaurant ""the greenhouse"" was packed. It has a cool garden area feel and colorful lamps. The decor is really interesting here. The menu is quite overwhelming with so many options to choose from. For appetizers, we ordered the Bruschette: Peperoni Rossi con Caprino. The waiter said ""they call this ""peasant bread."" It was topped with marinated grilled peppers and goat cheese. The goat cheese overpowered the whole dish, but it was still really good. Along with this Bruschette, we also ordered the Pomodoro E Basilico. My cousin said the bread was a tad soggy from all the Tomato Basil and olive oil, but I thought it was fine. We also ordered the Three-Cheese Course which comes with baked focaccia crisps. The three cheeses we chose were Cheddar, Manchego, Chevre Rondin. The Chevre Rondin was my favorite.. I've become a huge fan of goat cheese after coming here. For entrees, we ordered two pies: Pizza Margherita (regular pizza). We also ordered Lasagna Al Pesto and Lasagna Quattro Formaggi along with a panini: Tacchino Affumicato & Prosciutto Arrostito. The panini was very filling and it would make for either a nice lunch or dinner. The Lasagna was very well made. The four kinds of cheese in Lasagna Quattro Formaggi was very filling and perfect for a cheese lover. Overall, I would definitely come back for lunch or dinner.",25,0.9933
18,20,10,5.0,"Amazing! Small, intimate, delicious sushi, great service. Perfect for a couple of friends catching up or date night! I came here on the recommendation of a friend and it did not disappoint. This place has a variety of options including apps, sake/whiskey flights, hand rolls and the best option, the omakase!We started with blue fin toro tartare app which was amazing. If you check in on yelp, you get a free sake with an app. The tartare was delicious, good to share between two people. Came with mashed avocado and this fried nori crackers which was so good! Crisp and the perfect compliment to the tuna. Omakase- comes with smoked miso soup which they smoke right in front of you! Great tasteThe 10 pieces of sushi, all fresh and lightly garnished with yummy pairings, like toro with a surprise crunch inside or salmon with lightly charred tomato. All for 50 bucks! So worth the price! The whole experience was amazing. Our server and the host Miguel were super welcoming and very informative about the lab and what they serve.Great experience, easy to make reservations and we never felt rushed out. Will be back again!",35,0.998
19,11,1,5.0,"We had our team holiday party here and I couldn't have asked for a better experience. For our group of 15, we reserved the back room and it was so lovely! We had a private bar with plenty of space complete with tons of Christmas decorations (think Christmas tree, lights, and moving trains!) There's curtains that separate the rest of the bar from the private room and you also have your own private bathroom too. The food:- Mac and cheese: We had a bucket of mac and cheese and it wasn't enough. SO GOOD.- Spinach and artichoke dip: Also incredible. The pita is soft, warm, and fluffy.- Duck fat fries: You can't go wrong with duck fat fries.... ever. - Sliders: The bun was kind of hard, but still good!- Chipotle glazed wings: Really good flavor. - Truffle burrata: Melt in your mouth good.- Spinach salad & brussels sprouts: Not bad, but wasn't a crowd favorite.- Dessert sampler: This was SO MUCH FOOD. Tons of ice cream, cake, cheesecake, etc.Erich was on point with drinks and any other requests we had during the night. Can't recommend enough!",12,0.9304
20,16,9,5.0,"This place just makes me happy! Who wouldn't like gelato? It's just a wonderful little gelato shop in Chelsea. Today was a particularly amazing day for it beacuse I dropped in and the weather was warm. The service here is always so friendly on top of everything. Your always greeted with a smile. Just walking into this place takes you back to childhood.So I got 4 flavors beacuse with so many choices, you just can't get one! I actually started out with pistachio, then thought it was a good idea to add on tiramisu beacuse, why wouldn't I? Then it esculated to hazelnut and a burbon flavor. When they asked me if I wanted the little macaroon on top.. My only reply was.. Pistachio please! I sat down and begun to eat. As I ate, I actually realized that I probably got alittle too much and probably could have opted for a smaller size, but you only live once, so why not. Overall, I know im right around the corner so I'll probably be back until ive managed to try every flavor pluse some. Its always a great experience! I'll never go back to regular ice cream again! Thanks guys!",16,0.978
21,24,8,5.0,"I'm not a big consumer of food trucks HOWEVER!! :) I do love these guys. I used to work around the corner from them and I would hit them up every lunch for my falafel, no tomatoes, tahini and hot sauce with a Diet Coke for $5....first of all can't beat the price and secondly they'll make the falafel on the spot! It's always fresh and sooo good never a disappointment. Fast forward a year later where I haven't worked at that store location (I'm a freelance artist) and I popped over to grab a bite on the go and my dude totally REMEMBERED MY ORDER!!! Like what!?!?!!!Super people who work there out in the cold and NY summer heat all day everyday. If you're in and around the upper west side stop over get some good food and chill out at Lincoln center or Central Park!",26,0.963
22,35,18,5.0,"We thought we liked our fried fish place down in Gun Hill. Now I'm thinking- we've been doing it all wrong. But when Harbour appeared on the Hot & New Restaurants in Mamaroneck, you know it was on my list! Idea came from hubby and suggested we have Lunch here. Mind you, we even talked- not too long ago about how much White Plains and other nearby towns were in dire need of a Fried Fish place.I actually noticed them 'Closed' on their Yelp page, but I Googled and called them anyway. Sure enough, person I spoke to over the phone was energetic- so we went! Located a block away from E. Boston Post Road and the Mamaroneck Harbor, Harbour Fish is a fantastic addition to the area. Quiane, her Mom and Harbour's chef- hailing from the City Island strip- are bringing something wayyyyyy different from the typical and bland fish fry places we've all came to enjoy at one time or another especially if you lived in The BX, BK, QNS, NYC. Few things to know...(1) They're closed on Sundays. But given the weather was nice and it was Super Bowl Sunday, she wanted to test the waters and see what the foot traffic was like. (2) Harbour isn't sit-down. They're only Take out. However...was told when weather gets nice, there will be some outside seating. We were impressed. Harbour has their friers and counter space on left wall. They offer fresh Seafood up front, followed by more counter space and raw Veggies for their Steamed or Boiled dishes. Hubby went all in with Whiting Fried Fish Sandwich+Tartar Sauce on the side, 8-piece Jumbo Fried Shrimp to share and Cod Fried Fish Sandwich sans Chipotle Mayo for me. At this point, I'm like all over Harbour and prices are fair I thought. After that, I just wanted to get home and chow down! The food you wanna know??? Shrimp and Fish aren't just Fried. Quiane and her chef use the perfect amount of a real slamming and seasony dredge on all their Fried Seafood. And it shows they take pride in what they're putting out- and that's fresh Seafood and a damn good Fish Fry. Everything was very, very good and definitely the BEST Fried Fish Sandwich and Seafood I've had in a long time! The name says it all...I need to make plans to return!",34,0.9973
23,21,8,5.0,"I was kind of afraid that this place would be just another solid, not outstanding, overpriced token ethnic cuisine spot in New York. You know what I mean - there are so many, and most aren't really worth checking out.I was very pleasantly surprised by Mari Vanna. Firstly, the interior was GORGEOUS. Photos don't do it justice. It's beautiful, slightly kitschy and twee, and feels like it might have come out of the manor of a lesser noble in St. Petersburg (I've been). The decor is a refreshing change from the standard ultra modern/trendy ambiance of most NYC establishments, and is worth the trip alone.Luckily, the food is delicious as well! Dinner is probably pricier, but at lunch they serve a $25 prix fixe that includes a hefty appetizer and entree which is a great deal. We ordered the salmon salad, herring (yum if you like raw fish), chicken stroganoff, and beef pelmeni. Portions and quality were good and quite tasty. I confess that I am generally a huge fan of Eastern European food - meat, smoked fish and potatoes, what's not to like? For lunch, I also enjoyed the food and ambiance much more than Veselka (more of a diner) and find both establishments to be similarly priced, in which case Mari Vanna is the clear winner.I read some reviews stating that service was bad, but during lunch the servers were very friendly and responsive.Worth the trip!",19,0.9907
24,16,6,5.0,"I would like to review this restaurant as a vegetarian / vegan restaurant, rather than just a Korean Restaurant. So, please consider this when you are thinking about this restaurant.1. Reservations - Make a reservation. You will have to call into the restaurant to make one, but be sure to make one.2. The ambiance - Amazing. Dark, woody, balanced with some kind of perfect otherness to it that is for me not easy to describe, other than to tell you that I felt so comfortable here.3. Lose the Shoes - UYes, you will be sitting in a traditional Korean Dining space with a low table. But, thankfully, there is a recessed cavity for you to put your feet into, so you won't have to sit crossed legged for the whole dinner. For me, that would have been a problem as my legs would have gone to sleep.4. The food. Amazing vegetarian food with a Korean flair.a. Spicy Baby Dumplings, I ate this too fast to figure out what vegetables were in this, but they were excellent. Kind of like a ravioli or a wonton with a unique taste.b. Combination pancakes which were leek pancakes, kimchi mushroom and kabocha pumpkin pancakes. All very good. The kimchi mushroom was my favorite.c. Todok Stone Bowl rice - I never had todok before, but wanted to try this on the recommendation of the waiter. Todok is a Korean mountain root and it was delicious! This was to me a unique and tasty bibimbap with the todok root. Very Nice.d. Tofu with mixed vegetables - My friend ordered this and enjoyed it. It does not come with rice separately so you have to order a side of rice to really enjoy this!e. Kimchi Stone Bowl Rice - This is also to me like bibimbap in a stone bowl with Kimchi. Excellent. What I like most about these stone bowls is that the bowls are so hot, that the rice continues to cook and gets that crispy fried texture as if it was on the bottom of a cooked pan. Tasty, great texture and fun to scrape and eat it!f. Avocado Stone Bowl rice- The avocado added a very creamy and rich texture to the meal. Very nice.Not sure why we all ended up with Rice Bowls, I wanted us to try the other items like the Mushrooms, but the waiter highly recommended the stone bowls and so for some odd reason, most of the party ordered it.For Dessert, we had the chocolate mocha cake, with a scoop of soy vanilla ice cream, blueberry coconut cake , and two mango sorbets. Excellent and extremely tasty.As a vegetarian / vegan restaurant, the food here is absolutely outstanding. The presentation, the taste, the choice, the beauty of the creations are top notch. Loved it. For a Korean restaurant, since I am not a vegan or vegetarian, I did miss the great taste of meats cooked so well, but Hangawi was a very unique experience that I am so happy to have tried and will try again in the future.GK says, check it out. Especially if your daughter is vegan and is in NYC for the first time!",17,0.9993
25,11,4,5.0,I got a few rolls of film developed and scanned here. I had them transferred the photos onto my USB stick. The negatives were neatly packed. And the jpgs were stored in folders that corresponded to the negatives index. Images turned out great. I didn't see any dust in any of the scans and the blacks did not clip from their digital scanner. Photos were ready on the date as promised. It was a hassle free experience and I was in and out of the store in a few mins.,16,0.93
26,11,7,5.0,"Just opened 4 weeks ago today, and while RH rooftop enjoyed peace and quiet - the words out now!Located within the jaw dropping new RH in Meatpacking, on the 5th floor is the gorgeous RH Rooftop Restaurant. Decked out in plush seating, chandeliers for days, and a rooftop with #views, you need to get here STAT. Like their sister resto in Chicago, they do not take ressies. We arrived just after opening (10am) and the place was empty! Left around 12 and it was still only half full. Go NOW!Of course besides the aesthetics - the food was on point and excellent pricing for the environment. I had the divine eggs w/ creme fraiche, served alongside the most decadent and delicious buttered toast ($18). Friend had the burger ($24) and it was massive! Didn't try it but was told it was excellent. Hubby got the turkey club which was a very generous portion. All the plates come with sides - either fries or side salad and lemme tell you - fries all the way! One of the best fries I've had and I'm a French fry expert so basically just trust me. Service was top notch and the bathrooms here, oh myyyy. Dripping in marble and gold. The ambiance here is certainly RH worthy and the food was delish to boot. Would 200% return!",13,0.9933
27,13,5,5.0,"I FINALLY made it to Magic Jewelry for an aura reading! Luckily I came before January 1, 2019 because the price went from $20 to $30. Yes, there's a line, but it moves quickly. I think I waited for 15 minutes or so.The whole process is pretty cool and the employees do a great job in educating you and explaining the photo. I also like that they don't try to up-sell their crystals and other products. Great experience overall!",17,0.9806
